half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,233,ts+brg13+mn4/6+rc(0.10,15)+link,89.35,96.56,94.20,60.00,4.55,1.80,36.05,1670
0,234,ts+brg13+mn4/6+rc(0.20,8),88.32,96.22,93.40,61.90,4.55,1.80,34.86,1697
0,235,ts+brg13+mn4/6+rc(0.20,8)+link,88.32,96.56,93.67,61.90,4.55,1.80,34.75,1692
0,236,ts+brg13+mn4/6+rc(0.20,15),92.10,97.25,94.72,53.10,4.55,1.85,36.60,1669
0,237,ts+brg13+mn4/6+rc(0.20,15)+link,92.10,97.59,94.99,53.10,4.55,1.80,36.49,1664
0,238,ts+brg13+mn3/5,92.44,97.59,95.51,57.62,4.55,2.05,40.71,1878
0,239,ts+brg13+mn3/5+link,92.78,97.94,95.78,57.62,4.55,2.00,40.59,1873
0,240,ts+brg13+mn3/5+rc(0.05,8),92.78,97.59,95.51,57.62,4.55,2.10,40.87,1874
0,241,ts+brg13+mn3/5+rc(0.05,8)+link,93.13,97.94,95.78,57.62,4.55,2.05,40.74,1869
0,242,ts+brg13+mn3/5+rc(0.05,15),93.47,97.94,95.25,57.38,4.55,2.05,41.02,1848
0,243,ts+brg13+mn3/5+rc(0.05,15)+link,93.81,98.28,95.51,57.38,4.55,2.00,40.90,1843
0,244,ts+brg13+mn3/5+rc(0.10,8),92.78,97.59,95.51,57.86,4.55,2.10,41.02,1874
0,245,ts+brg13+mn3/5+rc(0.10,8)+link,93.13,97.94,95.78,57.86,4.55,2.05,40.90,1869
0,246,ts+brg13+mn3/5+rc(0.10,15),94.16,97.94,95.25,55.48,4.55,2.05,41.80,1814
